step,mrr,ap,hits@10,model,last_loss
40200,0.16734234001976855,0.16734234001976855,0.33,graphmixer,0.46329325437545776
40400,0.178595736468092,0.178595736468092,0.33,graphmixer,0.507655143737793
40600,0.16052996282300455,0.16052996282300455,0.29,graphmixer,0.6083517074584961
40800,0.1613235335914274,0.1613235335914274,0.275,graphmixer,0.7337924838066101
41000,0.16784500786435802,0.16784500786435802,0.36,graphmixer,0.5319676995277405
41200,0.1457597588379584,0.1457597588379584,0.265,graphmixer,0.760303258895874
41400,0.15612342450353758,0.15612342450353758,0.295,graphmixer,0.7485327124595642
41600,0.190398175509013,0.190398175509013,0.315,graphmixer,0.7815264463424683
41800,0.2481456896161116,0.2481456896161116,0.375,graphmixer,0.5399026274681091
42000,0.1607968413651008,0.1607968413651008,0.33,graphmixer,0.5690687894821167
42200,0.22016029721763034,0.22016029721763034,0.355,graphmixer,0.8798425793647766
42400,0.22927540074192088,0.22927540074192088,0.41,graphmixer,0.7875826358795166
42600,0.17503674355798934,0.17503674355798934,0.305,graphmixer,0.5988073348999023
42800,0.19875875373353963,0.19875875373353963,0.34,graphmixer,0.580254852771759
43000,0.23694183649541728,0.23694183649541728,0.37,graphmixer,0.8527547717094421
43200,0.21666017442362026,0.21666017442362026,0.385,graphmixer,0.8941969275474548
43400,0.20394482165746744,0.20394482165746744,0.335,graphmixer,0.7886730432510376
43600,0.2301197542893985,0.2301197542893985,0.425,graphmixer,0.42761945724487305
43800,0.1923099689676238,0.1923099689676238,0.39,graphmixer,0.7957687377929688
44000,0.2286098033323351,0.2286098033323351,0.37,graphmixer,0.41406893730163574
44200,0.19272647937313675,0.19272647937313675,0.34,graphmixer,0.8159160017967224
44400,0.2158948759791836,0.2158948759791836,0.415,graphmixer,0.881023645401001
44600,0.23355792237723594,0.23355792237723594,0.425,graphmixer,0.9561170935630798
44800,0.20272756588371024,0.20272756588371024,0.36,graphmixer,0.7666618227958679
45000,0.15682856346898563,0.15682856346898563,0.33,graphmixer,0.6016095280647278
45200,0.15110146943579605,0.15110146943579605,0.315,graphmixer,0.5827632546424866
45400,0.13331726000789137,0.13331726000789137,0.275,graphmixer,0.6005260944366455
45600,0.15869281878350763,0.15869281878350763,0.32,graphmixer,0.5271337032318115
45800,0.1258551890160348,0.1258551890160348,0.26,graphmixer,0.7662906050682068
46000,0.19234853367492272,0.19234853367492272,0.36,graphmixer,0.7531681060791016
46200,0.17589115345129105,0.17589115345129105,0.28,graphmixer,0.7281209230422974
46400,0.09090648649402451,0.09090648649402451,0.19,graphmixer,0.6137973070144653
46600,0.10514463092075525,0.10514463092075525,0.195,graphmixer,0.6853361129760742
46800,0.1379617604191303,0.1379617604191303,0.255,graphmixer,0.8193934559822083
47000,0.11759688001646548,0.11759688001646548,0.26,graphmixer,0.7050559520721436
47200,0.14541722401847898,0.14541722401847898,0.25,graphmixer,0.7208850979804993
47400,0.12862162479740247,0.12862162479740247,0.28,graphmixer,0.9130698442459106
47600,0.18237034848157155,0.18237034848157155,0.355,graphmixer,0.7264731526374817
47800,0.18803362360622422,0.18803362360622422,0.33,graphmixer,0.6059520244598389
48000,0.1950941560227524,0.1950941560227524,0.32,graphmixer,0.7099918723106384
48200,0.1535563656431816,0.1535563656431816,0.285,graphmixer,0.6059272289276123
48400,0.17039451247733312,0.17039451247733312,0.315,graphmixer,0.7464291453361511
48600,0.1847722704970552,0.1847722704970552,0.405,graphmixer,0.5644006133079529
48800,0.2427669592136194,0.2427669592136194,0.405,graphmixer,0.7601779699325562
49000,0.18821176537104506,0.18821176537104506,0.355,graphmixer,0.9100378155708313
49200,0.20434642057958488,0.20434642057958488,0.365,graphmixer,0.5219533443450928
49400,0.2066476112628955,0.2066476112628955,0.365,graphmixer,0.5304179191589355
49600,0.23371090520091442,0.23371090520091442,0.38,graphmixer,0.6078359484672546
49800,0.17619386888556632,0.17619386888556632,0.32,graphmixer,0.3765220046043396
50000,0.16359982254017755,0.16359982254017755,0.305,graphmixer,0.8074969053268433
